マーク ID,マーク名,タイムスタンプ,\Processor(_Total)\% Processor Time,\Memory\Pages/sec,\Processor(_Total)\% Privileged Time,\Processor(_Total)\% User Time,\.NET CLR Exceptions(mic)\# of Exceps Thrown / sec,\.NET CLR Memory(mic)\# Bytes in all Heaps,\.NET CLR Memory(mic)\# Total committed bytes,\.NET CLR Memory(mic)\# Gen 0 Collections,\.NET CLR Memory(mic)\# Gen 1 Collections,\.NET CLR Memory(mic)\# Gen 2 Collections,\.NET CLR Memory(mic)\% Time in GC,\Process(mic)\% Processor Time,\Process(mic)\% Privileged Time,\Process(mic)\% User Time,\Process(mic)\Private Bytes,\.NET CLR LocksAndThreads(mic)\Contention Rate / sec,\Process(mic)\Working Set,
0,"プログラムの開始",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,"AutoMark",15094721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163264,0,2519040,
2,"AutoMark",1298200883,37,1019,6,29,0,0,0,0,0,0,0,86,3,83,11378688,0,15958016,
3,"AutoMark",2590669664,19,102,10,9,0,0,0,0,0,0,0,27,9,18,18771968,0,21753856,
4,"AutoMark",5101188615,21,128,6,14,0,0,0,0,0,0,0,52,7,44,54210560,0,45801472,
5,"AutoMark",6377041985,26,0,2,24,0,0,0,0,0,0,0,100,3,97,54222848,0,49029120,
6,"AutoMark",7646648029,26,0,2,25,0,0,0,0,0,0,0,101,3,98,62627840,0,53755904,
7,"AutoMark",10153592080,26,0,0,25,0,0,0,0,0,0,0,100,0,100,62672896,0,53874688,
8,"AutoMark",11413309059,24,0,0,26,0,0,0,0,0,0,0,98,0,98,62672896,0,53874688,
9,"AutoMark",12690480938,27,0,0,26,0,0,0,0,0,0,0,100,0,100,62672896,0,53874688,
10,"AutoMark",15187450621,25,0,0,25,0,0,0,0,0,0,0,99,0,99,62672896,0,53874688,
11,"AutoMark",16442198685,27,0,0,24,0,0,0,0,0,0,0,99,0,99,62672896,0,54448128,
12,"AutoMark",18944157226,26,0,1,25,0,0,0,0,0,0,0,99,0,99,62672896,0,54448128,
13,"AutoMark",21443595139,26,26,2,23,0,0,0,0,0,0,0,96,1,94,62672896,0,54538240,
14,"AutoMark",22708314455,24,0,2,23,0,0,0,0,0,0,0,104,9,95,62672896,0,54538240,
15,"AutoMark",24007945633,26,0,0,24,0,0,0,0,0,0,0,101,0,101,62672896,0,54538240,
16,"AutoMark",25310062915,26,0,2,25,0,0,0,0,0,0,0,98,0,98,62672896,0,54538240,
17,"AutoMark",26584741058,27,0,1,25,0,0,0,0,0,0,0,97,0,97,62672896,0,54538240,
18,"AutoMark",29109121833,27,0,2,23,0,0,0,0,0,0,0,100,4,95,62672896,0,54579200,
19,"AutoMark",30369019973,24,3,6,20,0,0,0,0,0,0,0,71,3,67,18345984,0,26996736,
20,"AutoMark",31618692898,21,11,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,"AutoMark",34113192206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4294967295,"プログラムの終了",34113192206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
